kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bc.1.sm_75.ptx 612 : 1 4 0 0 0 1 1 0 0 
bc.1.sm_75.ptx 111 : 161366 1470276 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 58 : 299067 2744606 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 225 : 73967 397520 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 611 : 1 8 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 110 : 161366 1132401 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 620 : 299066 3709034 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 66 : 299067 0 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 233 : 369079 1316049 0 0 0 0 0 0 37414 
bc.1.sm_75.ptx 619 : 299066 5373608 0 0 0 37384 9346 0 0 
bc.1.sm_75.ptx 55 : 299067 1885000 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 222 : 369079 2256345 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 608 : 299066 2133890 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 686 : 299136 1667712 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 185 : 60394 368409 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 607 : 299067 9 0 0 0 0 0 0 1 
bc.1.sm_75.ptx 53 : 4785072 28282477 0 0 0 0 0 0 42632 
bc.1.sm_75.ptx 220 : 369079 3384382 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 606 : 299067 2451581 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 52 : 4785072 35725499 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 219 : 369079 3350564 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 268 : 4786176 30336928 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 605 : 299067 3250451 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 45 : 4786176 42937120 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 677 : 299136 345 0 0 0 0 0 0 1 
bc.1.sm_75.ptx 176 : 369079 3383642 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 50 : 4785072 49353520 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 682 : 299067 2267613 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 181 : 60394 324155 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 603 : 299067 2490712 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 49 : 4785072 48817145 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 681 : 299067 2913747 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 33 : 4786176 51490560 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 200 : 369079 2257932 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 44 : 4786176 50575904 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 211 : 369079 1360229 0 0 0 0 0 0 35527 
bc.1.sm_75.ptx 676 : 299136 2012352 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 175 : 369079 3352731 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 597 : 299136 483 0 0 0 0 0 0 1 
bc.1.sm_75.ptx 34 : 4786176 60349472 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 201 : 369079 1580507 0 0 0 0 0 0 29031 
bc.1.sm_75.ptx 46 : 4786176 6055 0 0 0 0 0 0 16 
bc.1.sm_75.ptx 213 : 109560 1005750 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 602 : 299067 3244073 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 265 : 369079 1145155 0 0 0 0 0 0 35946 
bc.1.sm_75.ptx 679 : 299067 1939554 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 178 : 369079 2258479 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 263 : 369079 2250806 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 600 : 299067 2197592 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 43 : 4786176 32351008 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 210 : 369079 2258720 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 599 : 299067 2142840 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 262 : 369079 3351604 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 675 : 299136 2965056 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 174 : 369079 86276254 2105728 0 0 355446 118511 0 0 
bc.1.sm_75.ptx 48 : 4785072 35356610 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 215 : 109560 27828731 652544 0 0 107859 74785 0 0 
bc.1.sm_75.ptx 680 : 299067 2895891 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 179 : 369079 1615793 0 0 0 0 0 0 26343 
bc.1.sm_75.ptx 35 : 4786176 65757568 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 36 : 4786176 73656224 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 203 : 66960 359295 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 589 : 299136 4394208 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 37 : 4786176 75471456 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 204 : 66960 292237 0 0 0 52427 52427 0 0 
bc.1.sm_75.ptx 590 : 299136 4666816 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 38 : 4786176 73923840 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 205 : 66960 608165 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 670 : 299136 1917696 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 169 : 155058 969528 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 254 : 369079 2257753 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 591 : 299136 2960128 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 39 : 4786176 73545984 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 206 : 66960 305114 0 0 0 65877 52427 0 0 
bc.1.sm_75.ptx 671 : 299136 2592576 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 170 : 155058 1418378 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 255 : 369079 1261468 0 0 0 0 0 0 39273 
bc.1.sm_75.ptx 592 : 299136 2332384 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 40 : 4786176 45414752 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 207 : 66960 409068 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 672 : 299136 1786176 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 171 : 155058 1407999 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 593 : 299136 2156704 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 596 : 299136 2349472 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 259 : 128371 33492694 847584 0 0 127010 82462 0 0 
